Eigvals	3
26.915121173025327	20.48581266036949	16.39453139791039

Proportion explained	3
0.12951339166759124	0.09857607779861643	0.07888916243379948

Species	0	0

Site	616	3
1629.SubjectIBD412	0.07360319613908696	-0.02180495171406868	0.1444875705928431
1629.SubjectIBD109	-0.1873035023094034	0.02590229492178522	-0.1720700267114181
1629.SubjectIBD473	-0.2351008893397311	0.0681789799457935	-0.09055687815604467
1629.SubjectIBD277	-0.11427863555059596	0.14012519703692874	0.1458933781471692
1629.SubjectIBD423	0.032002001319886064	0.09563463064292783	0.17902385101849155
1629.SubjectIBD384	0.0030475571398727672	-0.49059480264167477	-0.08277652719988432
1629.SubjectIBD505	0.44390286780700566	0.1711436911540746	-0.2290314701199902
1629.SubjectIBD028	0.2202553383318063	-0.5547948536375084	0.04239458039063084
1629.SubjectIBD037	-0.1498282475615841	-0.079228312583521	-0.0038640104785984497
1629.SubjectIBD551	0.2027069941181229	-0.4895924508437081	-0.024018795161922204
1629.SubjectIBD134	0.00815269704918325	0.12828054293993194	0.1388299934482014
1629.SubjectIBD366	-0.08200815552104206	0.023235102391190046	0.1253479906539167
1629.SubjectIBD294	0.007173830070664281	0.10300269035419232	0.12691771519298672
1629.SubjectIBD362	-0.3564795638112791	-0.08286387893941305	-0.3058469025788285
1629.SubjectIBD020	-0.13625794051562962	0.10958601395547093	0.08349471381212276
1629.SubjectIBD341	0.44471742924048435	0.023907297261564004	-0.352151214073653
1629.SubjectIBD038	-0.03676324671111847	-0.07211380535974281	0.11576638938535969
1629.SubjectIBD514	0.44675948128494997	0.2000905569805193	-0.203019434814124
1629.SubjectIBD151	-0.10724114705959932	0.14662163062890776	0.053555576091786156
1629.SubjectIBD321	0.024680680485968914	0.05798220174460335	0.08050420168494794
1629.SubjectIBD287	-0.1969926079456638	-0.05714956203789217	-0.27029751159292476
1629.SubjectIBD239	-0.10378737413658747	0.16293009065923375	0.08178388615426614
1629.SubjectIBD573	-0.061847489754155834	0.08291720328022219	0.03663362057973935
1629.SubjectIBD162	-0.159534564165433	0.06406278158261997	0.05958849156298851
1629.SubjectIBD165	0.23238200022222807	-0.5709693886229652	0.04159558821202694
1629.SubjectIBD041	-0.041039647211270014	-0.07543116279991392	0.06635774026645157
1629.SubjectIBD483	0.11323824948364229	0.08172032049173121	0.19707139840145338
1629.SubjectIBD058	-0.08428369769715333	0.045260126641169046	0.08779685532881726
1629.SubjectIBD410	0.4396163022026414	0.24400880495541194	-0.2601104620328335
1629.SubjectIBD358	-0.13285481828844917	-0.00438516735318059	0.11437854109984773
1629.SubjectIBD054	-0.25422338834872915	0.10094930401111842	-0.052804945834191486
1629.SubjectIBD156	0.01320914104142247	0.10065353854538138	0.13523777986317279
1629.SubjectIBD193	-0.0037386622230207237	0.14502271415876924	0.17058114310854292
1629.SubjectIBD386	0.14503263019006457	-0.5746798758209368	-0.006180615830707993
1629.SubjectIBD142	-0.3100017695430679	-0.12322257802357833	-0.3378617456595532
1629.SubjectIBD286	-0.049569779621933596	0.06698877875293259	-0.24838214413274182
1629.SubjectIBD519	-0.05758511290978533	0.13317902921348204	0.0654742626802139
1629.SubjectIBD511	0.5092339955911084	0.20643544916254083	-0.3125492284244772
1629.SubjectIBD197	0.06905247443039582	-0.06678144505647325	0.07986308514899644
1629.SubjectIBD517	-0.18390622485333133	0.10387947919728469	-0.044657633935005756
1629.SubjectIBD394	-0.07436272427399998	0.03787074899983124	0.15039668072708384
1629.SubjectIBD442	0.12498712530493818	0.09940027759271063	0.2338275818306787
1629.SubjectIBD139	-0.03441945824672716	-0.1354418522960324	0.016275686010342016
1629.SubjectIBD720	-0.04951076430950768	0.10642118561269073	0.16778176317634017
1629.SubjectIBD475	-0.12391100477431342	0.005371811829168242	0.03869273363858068
1629.SubjectIBD348	0.07951660407521974	-0.03095256583396304	0.27774417344874325
1629.SubjectIBD508	0.4987415519174708	0.19016515482118077	-0.3009909990278847
1629.SubjectIBD612	0.07779513044121744	0.06882328703491997	0.09038385657836909
1629.SubjectIBD249	-0.31215353694066605	-0.1590947694113877	-0.3224694774913958
1629.SubjectIBD091	-0.0855586510635302	0.04609733487257635	0.11942759197306789
1629.SubjectIBD492	-0.09727288864256631	0.1158187324899537	0.09291778756305447
1629.SubjectIBD146	0.18207481872246953	-0.25044832729284733	0.2065721269642076
1629.SubjectIBD397	-0.17925131268250163	0.1046928874111668	0.009852833569276194
1629.SubjectIBD272	-0.21427346974592912	0.08883748946697344	-0.10777848914362513
